41733	In a surprise announcement that sent its shares plummeting more than 10 percent, the world's biggest maker of luxury cars, said it earned 507 million euros (US$791.5 million) in the April-June period, down nearly 33 percent from the 753 million euros it earned last year.	{In,a,surprise,announcement,that,sent,its,shares,plummeting,more,than,10,percent,",",the,world,'s,biggest,maker,of,luxury,cars,",",said,it,earned,507,million,euros,-LRB-,US$,791.5,million,-RRB-,in,the,April-June,period,",",down,nearly,33,percent,from,the,753,million,euros,it,earned,last,year,.}	{IN,DT,NN,NN,WDT,VBD,PRP$,NNS,VBG,JJR,IN,CD,NN,",",DT,NN,POS,JJS,NN,IN,NN,NNS,",",VBD,PRP,VBD,CD,CD,NNS,-LRB-,$,CD,CD,-RRB-,IN,DT,JJ,NN,",",IN,RB,CD,NN,IN,DT,CD,CD,NNS,PRP,VBD,JJ,NN,.}	{O,O,O,O,O,O,O,O,O,O,O,PERCENT,PERCENT,O,O,O,O,O,O,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,MONEY,MONEY,MONEY,O,O,O,O,O,O,O,O,PERCENT,PERCENT,O,O,MONEY,MONEY,MONEY,O,O,DATE,DATE,O}	1\t4\tcase 2\t4\tdet 3\t4\tcompound 4\t24\tnmod:in 5\t6\tnsubj 6\t4\tacl:relcl 7\t8\tnmod:poss 8\t6\tdobj 9\t6\txcomp 10\t12\tadvmod 11\t10\tmwe 12\t13\tnummod 13\t9\tdobj 14\t24\tpunct 15\t16\tdet 16\t19\tnmod:poss 17\t16\tcase 18\t19\tamod 19\t24\tnsubj 20\t22\tcase 21\t22\tcompound 22\t19\tnmod:of 23\t24\tpunct 24\t0\troot 25\t26\tnsubj 26\t24\tccomp 27\t28\tcompound 28\t29\tnummod 29\t26\tdobj 30\t31\tpunct 31\t29\tdep 32\t33\tcompound 33\t31\tnummod 34\t31\tpunct 35\t38\tcase 36\t38\tdet 37\t38\tamod 38\t26\tnmod:in 39\t26\tpunct 40\t43\tcase 41\t42\tadvmod 42\t43\tnummod 43\t26\tnmod:down 44\t48\tcase 45\t48\tdet 46\t47\tcompound 47\t48\tnummod 48\t43\tnmod:from 49\t50\tnsubj 50\t48\tacl:relcl 51\t52\tamod 52\t50\tnmod:tmod 53\t24\tpunct
44805	The company's announcement spooked investors, who sent the company's shares down sharply before leveling 7 percent lower to euro26.81 (US$41.56).	{The,company,'s,announcement,spooked,investors,",",who,sent,the,company,'s,shares,down,sharply,before,leveling,7,percent,lower,to,euro26,.81,-LRB-,US$,41.56,-RRB-,.}	{DT,NN,POS,NN,VBD,NNS,",",WP,VBD,DT,NN,POS,NNS,RP,RB,IN,VBG,CD,NN,JJR,TO,VB,CD,-LRB-,$,CD,-RRB-,.}	{O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,PERCENT,PERCENT,O,O,ORGANIZATION,NUMBER,O,MONEY,MONEY,O,O}	1\t2\tdet 2\t4\tnmod:poss 3\t2\tcase 4\t5\tnsubj 5\t0\troot 6\t5\tdobj 7\t6\tpunct 8\t9\tnsubj 9\t6\tacl:relcl 10\t11\tdet 11\t13\tnmod:poss 12\t11\tcase 13\t9\tdobj 14\t9\tadvmod 15\t14\tadvmod 16\t17\tmark 17\t9\tadvcl 18\t19\tnummod 19\t20\tnmod:npmod 20\t17\tadvmod 21\t22\tmark 22\t17\tadvcl 23\t22\tdobj 24\t25\tpunct 25\t23\tappos 26\t25\tnummod 27\t25\tpunct 28\t5\tpunct
378885	In other Nymex trading, heating oil futures fell 1.93 cents to US$3.44 a gallon (3.8 liters) while gasoline prices fell 1.42 cents to US$3.0567 a gallon.	{In,other,Nymex,trading,",",heating,oil,futures,fell,1.93,cents,to,US$,3.44,a,gallon,-LRB-,3.8,liters,-RRB-,while,gasoline,prices,fell,1.42,cents,to,US$,3.0567,a,gallon,.}	{IN,JJ,NNP,NN,",",NN,NN,NNS,VBD,CD,NNS,TO,$,CD,DT,NN,-LRB-,CD,NNS,-RRB-,IN,NN,NNS,VBD,CD,NNS,TO,$,CD,DT,NN,.}	{O,O,ORGANIZATION,O,O,O,O,O,O,MONEY,MONEY,O,MONEY,MONEY,O,O,O,NUMBER,O,O,O,O,O,O,MONEY,MONEY,O,MONEY,MONEY,O,O,O}	1\t4\tcase 2\t4\tamod 3\t4\tcompound 4\t9\tnmod:in 5\t9\tpunct 6\t8\tcompound 7\t8\tcompound 8\t9\tnsubj 9\t0\troot 10\t11\tnummod 11\t9\tdobj 12\t13\tcase 13\t9\tnmod:to 14\t13\tnummod 15\t16\tdet 16\t13\tnmod:npmod 17\t19\tpunct 18\t19\tnummod 19\t13\tdep 20\t19\tpunct 21\t24\tmark 22\t23\tcompound 23\t24\tnsubj 24\t9\tadvcl 25\t26\tnummod 26\t24\tdobj 27\t28\tcase 28\t24\tnmod:to 29\t28\tnummod 30\t31\tdet 31\t28\tnmod:npmod 32\t9\tpunct
128005	While stalling airlines including New York-based JetBlue have announced plans to delay some deliveries, Embraer's backlog of orders still rose to a record US$20.7 billion as of June 30 -- including US$6 billion for executive jets, bought largely by corporations and wealthy clients considered less vulnerable to soaring oil prices.	{While,stalling,airlines,including,New,York-based,JetBlue,have,announced,plans,to,delay,some,deliveries,",",Embraer,'s,backlog,of,orders,still,rose,to,a,record,US$,20.7,billion,as,of,June,30,--,including,US$,6,billion,for,executive,jets,",",bought,largely,by,corporations,and,wealthy,clients,considered,less,vulnerable,to,soaring,oil,prices,.}	{IN,VBG,NNS,VBG,NNP,JJ,NNP,VBP,VBN,NNS,TO,VB,DT,NNS,",",NNP,POS,NN,IN,NNS,RB,VBD,TO,DT,NN,$,CD,CD,IN,IN,NNP,CD,:,VBG,$,CD,CD,IN,JJ,NNS,",",VBD,RB,IN,NNS,CC,JJ,NNS,VBN,RBR,JJ,TO,VBG,NN,NNS,.}	{O,O,O,O,MISC,MISC,ORGANIZATION,O,O,O,O,O,O,O,O,ORGANIZATION,O,O,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,O,DATE,DATE,O,O,MONEY,MONEY,MONEY,O,TITLE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O}	1\t9\tmark 2\t3\tamod 3\t9\tnsubj 4\t7\tcase 5\t6\tamod 6\t7\tamod 7\t3\tnmod:including 8\t9\taux 9\t22\tadvcl 10\t9\tdobj 11\t12\tmark 12\t10\tacl 13\t14\tdet 14\t12\tdobj 15\t22\tpunct 16\t18\tnmod:poss 17\t16\tcase 18\t22\tnsubj 19\t20\tcase 20\t18\tnmod:of 21\t22\tadvmod 22\t0\troot 23\t26\tcase 24\t26\tdet 25\t26\tcompound 26\t22\tnmod:to 27\t28\tcompound 28\t26\tnummod 29\t31\tcase 30\t29\tmwe 31\t22\tnmod:as_of 32\t31\tnummod 33\t22\tpunct 34\t35\tcase 35\t22\tnmod:including 36\t37\tcompound 37\t35\tnummod 38\t40\tcase 39\t40\tamod 40\t35\tnmod:for 41\t35\tpunct 42\t35\tacl 43\t45\tadvmod 44\t45\tcase 45\t42\tnmod:by 46\t45\tcc 47\t48\tamod 48\t45\tconj:and 49\t48\tacl 50\t51\tadvmod 51\t49\txcomp 52\t53\tmark 53\t51\txcomp 54\t55\tcompound 55\t53\tdobj 56\t22\tpunct
370693	It also still predicts the merger will bring $25 million in savings not related to technology.	{It,also,still,predicts,the,merger,will,bring,$,25,million,in,savings,not,related,to,technology,.}	{PRP,RB,RB,VBZ,DT,NN,MD,VB,$,CD,CD,IN,NNS,RB,VBN,TO,NN,.}	{O,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,O,O,O,O,O,O}	1\t4\tnsubj 2\t4\tadvmod 3\t4\tadvmod 4\t0\troot 5\t6\tdet 6\t8\tnsubj 7\t8\taux 8\t4\tccomp 9\t8\tdobj 10\t11\tcompound 11\t9\tnummod 12\t13\tcase 13\t8\tnmod:in 14\t15\tneg 15\t8\tadvcl 16\t17\tcase 17\t15\tnmod:to 18\t4\tpunct
371717	NYSE Euronext also benefited from a reversal of a $36 million accrual tied to litigation between "a former Chairman &amp; CEO and the NYSE, which was finally terminated on July 31, 2008."	{NYSE,Euronext,also,benefited,from,a,reversal,of,a,$,36,million,accrual,tied,to,litigation,between,``,a,former,Chairman,&,CEO,and,the,NYSE,",",which,was,finally,terminated,on,July,31,",",2008,.,''}	{NNP,NNP,RB,VBD,IN,DT,NN,IN,DT,$,CD,CD,NN,VBN,TO,NN,IN,``,DT,JJ,NNP,CC,NNP,CC,DT,NNP,",",WDT,VBD,RB,VBN,IN,NNP,CD,",",CD,.,''}	{ORGANIZATION,ORGANIZATION,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,O,O,O,O,O,O,O,TITLE,O,TITLE,O,O,ORGANIZATION,O,O,O,O,O,O,DATE,DATE,DATE,DATE,O,O}	1\t2\tcompound 2\t4\tnsubj 3\t4\tadvmod 4\t0\troot 5\t7\tcase 6\t7\tdet 7\t4\tnmod:from 8\t13\tcase 9\t13\tdet 10\t13\tamod 11\t12\tcompound 12\t10\tnummod 13\t7\tnmod:of 14\t13\tacl 15\t16\tcase 16\t14\tnmod:to 17\t21\tcase 18\t21\tpunct 19\t21\tdet 20\t21\tamod 21\t14\tnmod:between 22\t21\tcc 23\t21\tconj:& 24\t21\tcc 25\t26\tdet 26\t21\tconj:and 27\t26\tpunct 28\t31\tnsubjpass 29\t31\tauxpass 30\t31\tadvmod 31\t26\tacl:relcl 32\t33\tcase 33\t31\tnmod:on 34\t33\tnummod 35\t33\tpunct 36\t33\tnummod 37\t4\tpunct 38\t4\tpunct
492037	The bill would double the agency's budget, to $136 million by 2014, and give it new authority to oversee testing procedures and impose civil penalties on violators.	{The,bill,would,double,the,agency,'s,budget,",",to,$,136,million,by,2014,",",and,give,it,new,authority,to,oversee,testing,procedures,and,impose,civil,penalties,on,violators,.}	{DT,NN,MD,VB,DT,NN,POS,NN,",",TO,$,CD,CD,IN,CD,",",CC,VB,PRP,JJ,NN,TO,VB,NN,NNS,CC,VB,JJ,NNS,IN,NNS,.}	{O,O,O,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,DATE,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O}	1\t2\tdet 2\t4\tnsubj 3\t4\taux 4\t0\troot 5\t6\tdet 6\t8\tnmod:poss 7\t6\tcase 8\t4\tdobj 9\t4\tpunct 10\t11\tcase 11\t4\tnmod:to 12\t13\tcompound 13\t11\tnummod 14\t15\tcase 15\t11\tnmod:by 16\t4\tpunct 17\t4\tcc 18\t4\tconj:and 19\t18\tiobj 20\t21\tamod 21\t18\tdobj 22\t23\tmark 23\t21\tacl 24\t25\tcompound 25\t23\tdobj 26\t23\tcc 27\t23\tconj:and 28\t29\tamod 29\t27\tdobj 30\t31\tcase 31\t27\tnmod:on 32\t4\tpunct
77829	He incorporated news of Exxon Mobil's nearly $12 billion quarterly profit into his remarks at an Iowa town hall meeting.	{He,incorporated,news,of,Exxon,Mobil,'s,nearly,$,12,billion,quarterly,profit,into,his,remarks,at,an,Iowa,town,hall,meeting,.}	{PRP,VBD,NN,IN,NNP,NNP,POS,RB,$,CD,CD,JJ,NN,IN,PRP$,NNS,IN,DT,NNP,NN,NN,NN,.}	{O,O,O,O,ORGANIZATION,ORGANIZATION,O,O,MONEY,MONEY,MONEY,SET,O,O,O,O,O,O,STATE_OR_PROVINCE,O,O,O,O}	1\t2\tnsubj 2\t0\troot 3\t2\tdobj 4\t13\tcase 5\t6\tcompound 6\t13\tnmod:poss 7\t6\tcase 8\t9\tadvmod 9\t13\tamod 10\t11\tcompound 11\t9\tnummod 12\t13\tamod 13\t3\tnmod:of 14\t16\tcase 15\t16\tnmod:poss 16\t2\tnmod:into 17\t22\tcase 18\t22\tdet 19\t22\tcompound 20\t22\tcompound 21\t22\tcompound 22\t16\tnmod:at 23\t2\tpunct
530181	The bank, which has agreed to a takeover by Spain's Banco Santander, said poorly performing investments had wiped 189 million pounds (US$374 million) after taxes off the value of the company's assets, and higher credit crunch-era funding costs stunted the lending business.	{The,bank,",",which,has,agreed,to,a,takeover,by,Spain,'s,Banco,Santander,",",said,poorly,performing,investments,had,wiped,189,million,pounds,-LRB-,US$,374,million,-RRB-,after,taxes,off,the,value,of,the,company,'s,assets,",",and,higher,credit,crunch-era,funding,costs,stunted,the,lending,business,.}	{DT,NN,",",WDT,VBZ,VBN,TO,DT,NN,IN,NNP,POS,NNP,NNP,",",VBD,RB,VBG,NNS,VBD,VBN,CD,CD,NNS,-LRB-,$,CD,CD,-RRB-,IN,NNS,IN,DT,NN,IN,DT,NN,POS,NNS,",",CC,JJR,NN,NN,NN,NNS,VBD,DT,NN,NN,.}	{O,O,O,O,O,O,O,O,O,O,COUNTRY,O,ORGANIZATION,ORGANIZATION,O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,MONEY,MONEY,MONEY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,O,O,O,O,O,O,O}	1\t2\tdet 2\t16\tnsubj 3\t2\tpunct 4\t6\tnsubj 5\t6\taux 6\t2\tacl:relcl 7\t9\tcase 8\t9\tdet 9\t6\tnmod:to 10\t14\tcase 11\t14\tnmod:poss 12\t11\tcase 13\t14\tcompound 14\t9\tnmod:by 15\t2\tpunct 16\t0\troot 17\t18\tadvmod 18\t19\tamod 19\t21\tnsubj 20\t21\taux 21\t16\tccomp 22\t23\tcompound 23\t24\tnummod 24\t21\tdobj 25\t26\tpunct 26\t24\tdep 27\t28\tcompound 28\t26\tnummod 29\t26\tpunct 30\t31\tcase 31\t21\tnmod:after 32\t34\tcase 33\t34\tdet 34\t21\tnmod:off 35\t39\tcase 36\t37\tdet 37\t39\tnmod:poss 38\t37\tcase 39\t34\tnmod:of 40\t21\tpunct 41\t21\tcc 42\t46\tamod 43\t46\tcompound 44\t46\tcompound 45\t46\tcompound 46\t47\tnsubj 47\t21\tconj:and 48\t50\tdet 49\t50\tcompound 50\t47\tdobj 51\t16\tpunct
40709	The memorial is expected to cost about 1 million pounds (US$2 million) to build and is due to be unveiled next July 7, the fourth anniversary of the bombings.	{The,memorial,is,expected,to,cost,about,1,million,pounds,-LRB-,US$,2,million,-RRB-,to,build,and,is,due,to,be,unveiled,next,July,7,",",the,fourth,anniversary,of,the,bombings,.}	{DT,NN,VBZ,VBN,TO,VB,IN,CD,CD,NNS,-LRB-,$,CD,CD,-RRB-,TO,VB,CC,VBZ,JJ,TO,VB,VBN,JJ,NNP,CD,",",DT,JJ,NN,IN,DT,NNS,.}	{O,O,O,O,O,O,O,MONEY,MONEY,MONEY,O,MONEY,MONEY,MONEY,O,O,O,O,O,O,O,O,O,DATE,DATE,DATE,O,O,ORDINAL,O,O,O,O,O}	1\t2\tdet 2\t4\tnsubjpass 3\t4\tauxpass 4\t0\troot 5\t6\tmark 6\t4\txcomp 7\t9\tadvmod 8\t9\tcompound 9\t10\tnummod 10\t6\tdobj 11\t12\tpunct 12\t10\tdep 13\t14\tcompound 14\t12\tnummod 15\t12\tpunct 16\t17\tmark 17\t6\tadvcl 18\t6\tcc 19\t20\tcop 20\t6\tconj:and 21\t23\tmark 22\t23\tauxpass 23\t20\txcomp 24\t25\tamod 25\t23\tnmod:tmod 26\t25\tnummod 27\t6\tpunct 28\t30\tdet 29\t30\tamod 30\t6\tdobj 31\t33\tcase 32\t33\tdet 33\t30\tnmod:of 34\t4\tpunct
